source_id,file_name,relative_path,file_extension,file_size,checksum_sha256,filesystem_mtime,document_type,title,document_internal_id,document_version,effective_version,document_status,subsystem,security_level,external_model_allowed,parse_status,notes
SRC-A59DE345B5,3D打印卫星计算载荷-智加X100计算模块配套电源模块 IDS表_20240924_签署.docx,智算机3D打印星验收外发国星文件/3D打印卫星计算载荷-智加X100计算模块配套电源模块 IDS表_20240924_签署.docx,.docx,1429099,62feebcc21ecfbd40f5ec09d2b84bbad34ce6d40113ae4cc90da5f1c4351a987,2025-01-21T11:05:40,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-7A4AEF21A6,3D打印星软件配置项测试记录.docx,智算机3D打印星验收外发国星文件/3D打印星软件配置项测试记录.docx,.docx,360253,7685240f0cb1786c578fb396ca6455d5e633ab680d405c5577454eea53469366,2025-01-26T10:47:34,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-ED22CEC159,X100正样验收结论签字单.docx,智算机3D打印星验收外发国星文件/X100正样验收结论签字单.docx,.docx,24334,499eb43078c576e55972818b61016f0e17e4d40e092b9dfe88c62a45b578bb8e,2025-01-26T11:34:28,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-490E1F8692,智加X100计算模块_验收级环境试验大纲_20250120_终稿.docx,智算机3D打印星验收外发国星文件/智加X100计算模块_验收级环境试验大纲_20250120_终稿.docx,.docx,749173,94b2eb1c9adf4bbacc9b1f061e0d67941c9e59d66530e6f722fb487e3b6a029a,2025-01-21T11:05:44,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-76DF8D1E32,智加X100计算模块_验收级环境试验报告_20250120_终稿.docx,智算机3D打印星验收外发国星文件/智加X100计算模块_验收级环境试验报告_20250120_终稿.docx,.docx,26440272,a04ba3aa3209ca60ce7b465308f359c9f898473eba045d578ac9eafc5d8db663,2025-01-21T11:05:42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-52138C42EC,智加X100计算模块单机(硬件)验收测试细则_20250120_终稿.docx,智算机3D打印星验收外发国星文件/智加X100计算模块单机(硬件)验收测试细则_20250120_终稿.docx,.docx,707497,c65d93c376d967f7dfddbcfa1258488fa03a7d811a3d6c882268d9c57cfea07f,2025-01-21T11:05:46,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-8571017BC5,智加X100（硬件）验收测试记录表.pdf,智算机3D打印星验收外发国星文件/智加X100（硬件）验收测试记录表.pdf,.pdf,1903571,22035248b9a95d827487ad782ef03a1253b5c27b0b5513da62e3eb3b27794f99,2025-01-26T11:22:54,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-F3DEEF3060,温度测试环境和系统咨询.docx,温度测试环境和系统咨询.docx,.docx,39772,e4ed5c32923973be90f4c93a3a922e4aa338584b526b463da400f13fbd2ef9d5,2025-07-29T16:57:08,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-CD675E4634,程控时间表8.28.xlsx,程控时间表8.28.xlsx,.xlsx,227593,f762d3a0ceae0ccad51088588ea23daea4392b5072286acf8386c7675f1f9e26,2025-08-28T22:48:54,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-7878EEE3F2,程控时间表8.31.xlsx,程控时间表8.31.xlsx,.xlsx,227500,4735952ddabea2af7f6ecff4396062f9b9b6b9140ec87e4e45b5c76bd547f9a6,2025-08-31T11:03:40,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-FEBF4D788B,程控时间表9.1.xlsx,程控时间表9.1.xlsx,.xlsx,227716,051a639d18fd69f258879aaf7e8841d79dc16d8fb1daaf3459b5c0705de954d0,2025-09-01T10:39:52,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-797371ABE3,程控时间表9.2.xlsx,程控时间表9.2.xlsx,.xlsx,227756,2d40f0e08156030564b7cbb794d791146dff332c10aa14f5940e1b2f6932db35,2025-09-02T09:22:18,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
